QUESTIONBANKCODE|QUESTIONCODE|QUESTIONTYPE|QUESTIONTEXT|QUESTIONTEXTFORMAT|QUESTIONFEEDBACK|OPTION|RIGHTOPTION|OPTIONFEEDBACK|ISCORRECT|OPTIONWEIGHT|ISCASESENSITIVE|RANDOMIZEOPTIONS|STATUS
ANSIBLEIMPL|ANSIBLEIMPL0501|1|What executes before roles in a playbook?|||pre_tasks|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0501|1|What executes before roles in a playbook?|||post_tasks|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0501|1|What executes before roles in a playbook?|||tasks|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0501|1|What executes before roles in a playbook?|||includes|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0502|1|When do handlers execute?|||Once, at the end of the task|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0502|1|When do handlers execute?|||Once, at the end of the playbook|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0502|1|When do handlers execute?|||Once, at the end of the play|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0502|1|When do handlers execute?|||Once, after includes run|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0503|1|What are handlers most often used for?|||Restarting services|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0503|1|What are handlers most often used for?|||Adding hosts to inventory with add_host|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0503|1|What are handlers most often used for?|||Specifying host variables|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0503|1|What are handlers most often used for?|||Gathering facts|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0504|1|Which of the following describes how roles are used?|||Roles are a way of automatically loading certain vars_files, tasks, and handlers|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0504|1|Which of the following describes how roles are used?|||Roles are many logical functions for a single virtual server in your inventory|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0504|1|Which of the following describes how roles are used?|||Roles provide a way to associate different playbooks|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0504|1|Which of the following describes how roles are used?|||Roles concatenate multiple inventories|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0505|1|Under a role's tasks directory, main.yml should include which of the following?|||A YAML list of dependent roles|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0505|1|Under a role's tasks directory, main.yml should include which of the following?|||A hosts declaration|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0505|1|Under a role's tasks directory, main.yml should include which of the following?|||A YAML dictionary of variables|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0505|1|Under a role's tasks directory, main.yml should include which of the following?|||A YAML list of tasks|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0506|1|Which of the following directories must be included in roles that are used by a playbook?|||tasks|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0506|1|Which of the following directories must be included in roles that are used by a playbook?|||vars|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0506|1|Which of the following directories must be included in roles that are used by a playbook?|||meta|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0506|1|Which of the following directories must be included in roles that are used by a playbook?|||defaults|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0507|1|What is the default sequence for role and playbook task execution?|||Role tasks execute before playbook tasks|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0507|1|What is the default sequence for role and playbook task execution?|||Role tasks execute as post_tasks for playbooks|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0507|1|What is the default sequence for role and playbook task execution?|||Playbook tasks execute as pre_tasks before applying role tasks|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0507|1|What is the default sequence for role and playbook task execution?|||There is no default and tasks execute in any order they appear|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0508|1|To configure a specific path for Ansible to look for roles, you can set the following in ansible.cfg:|||roles_location|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0508|1|To configure a specific path for Ansible to look for roles, you can set the following in ansible.cfg:|||roles_path|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0508|1|To configure a specific path for Ansible to look for roles, you can set the following in ansible.cfg:|||roles_default|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0508|1|To configure a specific path for Ansible to look for roles, you can set the following in ansible.cfg:|||roles_dir|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0509|1|What can the meta directory set?|||Version of the playbook|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0509|1|What can the meta directory set?|||Multiple inventories|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0509|1|What can the meta directory set?|||Dependencies on other roles|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0509|1|What can the meta directory set?|||remote_user|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0513|5|Variables that are declared in a task in the apache role can be used by the web role, if web is executed after apache.|||TRUE|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0513|5|Variables that are declared in a task in the apache role can be used by the web role, if web is executed after apache.|||FALSE|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0514|1|If roles/rolename/vars/main.yml exists, then the following is true:|||The variables in the 'defaults' directory are not evaluated|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0514|1|If roles/rolename/vars/main.yml exists, then the following is true:|||Those variables overrule hostvars|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0514|1|If roles/rolename/vars/main.yml exists, then the following is true:|||Those variables overrule defaults/main.yml in that role|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0514|1|If roles/rolename/vars/main.yml exists, then the following is true:|||They behave the same as using extra vars on the command line|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0515|1|What is the defined process for creating and using a role?|||Ansible automatically creates and uses a role if it is defined in the YAML file|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0515|1|What is the defined process for creating and using a role?|||Roles are downloaded from a repository and used only if needed|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0515|1|What is the defined process for creating and using a role?|||Roles are created and used in an ad hoc manner|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0515|1|What is the defined process for creating and using a role?|||Create the role directory structure; define the role content; use the role in a playbook|||1|100|||
