QUESTIONBANKCODE|QUESTIONCODE|QUESTIONTYPE|QUESTIONTEXT|QUESTIONTEXTFORMAT|QUESTIONFEEDBACK|OPTION|RIGHTOPTION|OPTIONFEEDBACK|ISCORRECT|OPTIONWEIGHT|ISCASESENSITIVE|RANDOMIZEOPTIONS|STATUS
ANSIBLEIMPL|ANSIBLEIMPL0301|1|How do you make Ansible pick up a custom module without adding that custom module in the standard module installation path?|||Name the module 'library' and place it in the same directory as the playbook|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0301|1|How do you make Ansible pick up a custom module without adding that custom module in the standard module installation path?|||Create a library directory in the standard module path and place the module there|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0301|1|How do you make Ansible pick up a custom module without adding that custom module in the standard module installation path?|||Create a "library" directory in the same directory as the playbook and place the custom module there|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0301|1|How do you make Ansible pick up a custom module without adding that custom module in the standard module installation path?|||Place the module in the default system module path|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0302|1|Which command enables you to identify the parameters that a module accepts?|||ansible -m module_name --show-paramters|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0302|1|Which command enables you to identify the parameters that a module accepts?|||ansible-playbook --show-doc module_name|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0302|1|Which command enables you to identify the parameters that a module accepts?|||ansible-doc module_name|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0302|1|Which command enables you to identify the parameters that a module accepts?|||ansibledoc module_name|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0303|1|In which order do tasks execute inside plays or roles?|||Assigned importance|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0303|1|In which order do tasks execute inside plays or roles?|||Alphabetical order, based on role name|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0303|1|In which order do tasks execute inside plays or roles?|||Opportunistically based on availability of resources on the target host|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0303|1|In which order do tasks execute inside plays or roles?|||One at a time, against all machines matched by the host pattern|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0304|5|Tasks must be written with parameters using either "key=value" or "key: value".|||TRUE|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0304|5|Tasks must be written with parameters using either "key=value" or "key: value".|||FALSE|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0305|1|Under which circumstances should plays be named?|||When more than one play exists in a playbook, or when a more friendly grouping of output is desired|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0305|1|Under which circumstances should plays be named?|||Plays must always be named|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0305|1|Under which circumstances should plays be named?|||When starting at a named play with the --start-at-play command line option|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0305|1|Under which circumstances should plays be named?|||Never; only tasks can be named|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0306|1|The following directory can be used to include custom modules in task lists in a role:|||modules|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0306|1|The following directory can be used to include custom modules in task lists in a role:|||files|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0306|1|The following directory can be used to include custom modules in task lists in a role:|||alt|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0306|1|The following directory can be used to include custom modules in task lists in a role:|||library|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0307|1|Which command would you execute to run an ad hoc task against an Ansible managed host?|||ansible|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0307|1|Which command would you execute to run an ad hoc task against an Ansible managed host?|||ansible-vault|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0307|1|Which command would you execute to run an ad hoc task against an Ansible managed host?|||ansible-ad hoc|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0307|1|Which command would you execute to run an ad hoc task against an Ansible managed host?|||ansible-playbook|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0308|1|The following describes Ansible Playbooks:|||A collection of Ansible modules|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0308|1|The following describes Ansible Playbooks:|||The language by which Ansible orchestrates, configures, administers, or deploys systems|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0308|1|The following describes Ansible Playbooks:|||It is written in Python|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0308|1|The following describes Ansible Playbooks:|||None of the above|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0309|1|Which of the following best describes Ansible facts?|||Ansible does not use facts|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0309|1|Which of the following best describes Ansible facts?|||Things that are discovered about remote nodes|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0309|1|Which of the following best describes Ansible facts?|||The source of truth|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0309|1|Which of the following best describes Ansible facts?|||User-defined variables|||0|0|||
