QUESTIONBANKCODE|QUESTIONCODE|QUESTIONTYPE|QUESTIONTEXT|QUESTIONTEXTFORMAT|QUESTIONFEEDBACK|OPTION|RIGHTOPTION|OPTIONFEEDBACK|ISCORRECT|OPTIONWEIGHT|ISCASESENSITIVE|RANDOMIZEOPTIONS|STATUS
ANSIBLEIMPL|ANSIBLEIMPL0401|1|What is the preferred method for declaring inventory variables?|||In the inventory file|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0401|1|What is the preferred method for declaring inventory variables?|||In extra_vars|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0401|1|What is the preferred method for declaring inventory variables?|||In the host_vars and group_vars directories|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0401|1|What is the preferred method for declaring inventory variables?|||In the role defaults|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0402|1|How do you make modules return values which would be stored as Ansible facts?|||The JSON returned by the module should have the 'ansible_facts' key, and then all the key/values would be stored as facts|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0402|1|How do you make modules return values which would be stored as Ansible facts?|||Add "register: true" in the response JSON|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0402|1|How do you make modules return values which would be stored as Ansible facts?|||Ansible does not have an option to store Ansible returned values as facts; you must use a register in the task|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0402|1|How do you make modules return values which would be stored as Ansible facts?|||Add "set_fact: true" in the response JSON|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0403|1|Which module would you use to add a fact for hosts during runtime?|||register|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0403|1|Which module would you use to add a fact for hosts during runtime?|||set_fact|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0403|1|Which module would you use to add a fact for hosts during runtime?|||fact|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0403|1|Which module would you use to add a fact for hosts during runtime?|||group_by|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0404|1|Which strategy can significantly speed up the initial task run for some plays?|||Disable gather_facts|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0404|1|Which strategy can significantly speed up the initial task run for some plays?|||Omit play names|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0404|1|Which strategy can significantly speed up the initial task run for some plays?|||Omit task names|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0404|1|Which strategy can significantly speed up the initial task run for some plays?|||Disable debug output|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0405|1|Inventory variable paths can be used with which of the following?|||include_vars|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0405|1|Inventory variable paths can be used with which of the following?|||roles|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0405|1|Inventory variable paths can be used with which of the following?|||include|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0405|1|Inventory variable paths can be used with which of the following?|||Both a and b|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0406|1|Which of the following lists variable precedence (from highest to lowest)?|||['extra vars', 'role_vars/included_vars/play_vars/etc', 'gathered facts', 'inventory file connection vars', 'other inventory variables', 'role defaults']|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0406|1|Which of the following lists variable precedence (from highest to lowest)?|||['gathered facts', 'role_vars/included_vars/play_vars/etc', 'other inventory variables', 'inventory file connection vars', 'role defaults', 'extra vars']|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0406|1|Which of the following lists variable precedence (from highest to lowest)?|||['extra vars', 'role defaults', 'role_vars/included_vars/play_vars/etc', 'other inventory variables', 'gathered facts', 'inventory file connection vars']|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0406|1|Which of the following lists variable precedence (from highest to lowest)?|||['inventory file connection vars', 'extra vars', 'gathered facts', 'role_vars/included_vars/play_vars/etc', 'other inventory variables', 'role defaults']|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0407|1|Which would evaluate to the OS family of a server, defined in inventory as "someserver," while Ansible connected to a different server?|||{{ host_vars['all']['someserver']['ansible_os_family'] }}|||0|0|||
