QUESTIONBANKCODE|QUESTIONCODE|QUESTIONTYPE|QUESTIONTEXT|QUESTIONTEXTFORMAT|QUESTIONFEEDBACK|OPTION|RIGHTOPTION|OPTIONFEEDBACK|ISCORRECT|OPTIONWEIGHT|ISCASESENSITIVE|RANDOMIZEOPTIONS|STATUS
ANSIBLEIMPL|ANSIBLEIMPL0201|1|By default, Ansible uses this protocol to manage Windows hosts:|||WinRM|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0201|1|By default, Ansible uses this protocol to manage Windows hosts:|||Accelerate|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0201|1|By default, Ansible uses this protocol to manage Windows hosts:|||SSH|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0201|1|By default, Ansible uses this protocol to manage Windows hosts:|||SNMP|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0202|1|Which transport mechanism does Ansible use to communicate with Linux and Unix machines?|||awk|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0202|1|Which transport mechanism does Ansible use to communicate with Linux and Unix machines?|||RDP|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0202|1|Which transport mechanism does Ansible use to communicate with Linux and Unix machines?|||netcat|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0202|1|Which transport mechanism does Ansible use to communicate with Linux and Unix machines?|||SSH|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0203|1|Ansible Playbooks are developed in which format?|||Jinja2|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0203|1|Ansible Playbooks are developed in which format?|||Python|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0203|1|Ansible Playbooks are developed in which format?|||JSON|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0203|1|Ansible Playbooks are developed in which format?|||YAML|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0204|1|Ansible ships with over 200 modules all written in which language?|||Bash|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0204|1|Ansible ships with over 200 modules all written in which language?|||Perl|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0204|1|Ansible ships with over 200 modules all written in which language?|||JavaScript|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0204|1|Ansible ships with over 200 modules all written in which language?|||Python|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0205|1|Which of the following best defines the Ansible control machine?|||The machine which uses Ansible to manage remote machines|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0205|1|Which of the following best defines the Ansible control machine?|||A machine which uses ControlPersist|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0205|1|Which of the following best defines the Ansible control machine?|||A machine that is under Ansible's control|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0205|1|Which of the following best defines the Ansible control machine?|||A machine running the development release of Ansible|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0206|1|To fully use Ansible, remote machines must have which of the following installed?|||JavaScript|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0206|1|To fully use Ansible, remote machines must have which of the following installed?|||PHP|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0206|1|To fully use Ansible, remote machines must have which of the following installed?|||Perl|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0206|1|To fully use Ansible, remote machines must have which of the following installed?|||Python|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0207|1|In which order are tasks in a playbook executed?|||Reverse|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0207|1|In which order are tasks in a playbook executed?|||Sequential|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0207|1|In which order are tasks in a playbook executed?|||Random|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0207|1|In which order are tasks in a playbook executed?|||Based on dependency tree|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0208|1|Which of the following best characterizes Ansible's default mode of operation?|||Configuration pulled from a central node|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0208|1|Which of the following best characterizes Ansible's default mode of operation?|||Configuration pushed from a central node|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0208|1|Which of the following best characterizes Ansible's default mode of operation?|||Configuration pulled from a distributed tree|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0208|1|Which of the following best characterizes Ansible's default mode of operation?|||Configuration managed by a local agent|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0209|1|Unless otherwise specified, the following is true:|||The remote_user is also the sudo_user value|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0209|1|Unless otherwise specified, the following is true:|||The remote_user will use the current user's SSH keys|||1|100|||
ANSIBLEIMPL|ANSIBLEIMPL0209|1|Unless otherwise specified, the following is true:|||The remote_user's password is set to the same as root's|||0|0|||
ANSIBLEIMPL|ANSIBLEIMPL0209|1|Unless otherwise specified, the following is true:|||The remote_user's password is an empty value |||0|0|||
